# 2019  1  2  0  0 UTC  2020  4 30  6 30 UTC
# ID,Year,Month,Day,Time(UTC),Lat,Lon,Area(km^2),Volcano,Level,Reliability,FRP(Wm^-2),QF,Hot(ID)
1,2019,1,2,0000,36.90,117.76,3.96,0,2,1,.59,0,2
2,2019,1,2,0000,36.90,117.78,3.96,0,2,1,.59,0,2
3,2019,1,2,0000,36.62,116.24,3.98,0,2,1,.78,0,3
4,2019,1,2,0000,36.60,114.10,3.98,0,2,3,1.33,0,4
5,2019,1,2,0000,36.60,116.22,3.98,0,2,1,1.26,0,5
6,2019,1,2,0000,36.46,115.98,3.99,0,2,1,.60,0,8
7,2019,1,2,0000,36.46,116.00,3.99,0,2,3,.71,0,8
8,2019,1,2,0000,36.46,116.02,3.99,0,2,1,.71,0,8
9,2019,1,2,0000,35.82,103.14,4.02,0,2,3,1.80,0,9
10,2019,1,2,0000,35.78,115.02,4.02,0,2,1,.45,0,15
11,2019,1,2,0000,35.78,115.04,4.02,0,2,1,.45,0,15
12,2019,1,2,0000,35.78,115.06,4.02,0,2,3,.49,0,15
13,2019,1,2,0000,35.76,115.04,4.02,0,2,1,.45,0,15
14,2019,1,2,0000,35.76,115.06,4.02,0,2,3,.49,0,15
15,2019,1,2,0000,35.76,115.08,4.02,0,2,3,.49,0,15
16,2019,1,2,0000,35.64,110.56,4.03,0,2,1,.69,0,18
17,2019,1,2,0000,35.62,110.56,4.03,0,2,1,1.84,0,18
18,2019,1,2,0000,35.62,110.58,4.03,0,2,1,1.84,0,18
19,2019,1,2,0000,35.42,116.58,4.04,0,2,3,.45,0,20
20,2019,1,2,0000,35.42,116.60,4.04,0,2,1,.45,0,20
21,2019,1,2,0000,34.60,107.18,4.08,0,2,3,1.03,0,21
22,2019,1,2,0000,34.60,107.20,4.08,0,2,3,1.03,0,21
23,2019,1,2,0000,34.44,115.62,4.09,0,2,1,.41,0,23
24,2019,1,2,0000,34.42,115.64,4.09,0,2,1,.33,0,24
25,2019,1,2,0000,34.42,115.66,4.09,0,2,1,.32,0,24
26,2019,1,2,0000,34.42,119.84,4.09,0,2,1,1.70,0,26
27,2019,1,2,0000,34.40,119.84,4.09,0,2,1,1.70,0,26
28,2019,1,2,0000,34.04,113.82,4.11,0,2,3,.38,0,30
29,2019,1,2,0000,34.02,113.82,4.11,0,2,3,.38,0,30
30,2019,1,2,0000,34.02,113.84,4.11,0,2,3,.38,0,30
31,2019,1,2,0000,33.92,116.46,4.11,0,3,1,.34,0,31
32,2019,1,2,0000,33.60,116.56,4.13,0,2,3,.86,0,33
33,2019,1,2,0000,33.60,116.58,4.13,0,2,3,.86,0,33
34,2019,1,2,0000,33.60,116.60,4.13,0,3,3,.75,0,33
35,2019,1,2,0000,33.58,114.00,4.13,0,2,1,.31,0,35
36,2019,1,2,0000,27.90,99.60,4.38,0,1,3,2.80,0,36
37,2019,1,2,0000,27.84,102.30,4.38,0,2,3,4.23,0,37
38,2019,1,2,0000,27.76,100.72,4.39,0,1,3,3.82,0,44
39,2019,1,2,0000,27.76,100.74,4.39,0,1,1,3.82,0,44
40,2019,1,2,0000,27.74,100.74,4.39,0,1,1,9.75,0,44
41,2019,1,2,0000,27.74,100.76,4.39,0,1,1,9.75,0,44
42,2019,1,2,0000,27.72,100.72,4.39,0,1,3,5.99,0,44
43,2019,1,2,0000,27.72,100.74,4.39,0,1,3,5.99,0,44
44,2019,1,2,0000,27.72,100.76,4.39,0,1,1,9.75,0,44
45,2019,1,2,0000,26.58,101.66,4.43,0,2,1,1.61,0,45
46,2019,1,2,0000,26.58,101.68,4.43,0,2,1,1.61,0,45
47,2019,1,2,0006,23.80,86.34,4.54,0,2,1,3.20,0,52
48,2019,1,2,0006,23.80,86.36,4.54,0,2,1,3.20,0,52
49,2019,1,2,0006,23.78,86.34,4.54,0,2,1,3.24,0,52
50,2019,1,2,0006,23.78,86.36,4.54,0,2,1,3.24,0,52
51,2019,1,2,0006,23.78,86.38,4.54,0,2,1,3.24,0,52
52,2019,1,2,0006,23.78,86.40,4.54,0,2,1,4.20,0,52
53,2019,1,2,0006,23.78,86.42,4.54,0,2,1,3.96,0,52
54,2019,1,2,0006,23.70,86.68,4.54,0,2,3,2.64,0,55
55,2019,1,2,0006,23.70,86.70,4.54,0,2,3,2.65,0,55
56,2019,1,2,0006,23.68,86.08,4.54,0,2,1,1.47,0,57
57,2019,1,2,0006,23.68,86.10,4.54,0,2,1,1.47,0,57
58,2019,1,2,0006,23.56,87.22,4.54,0,1,1,4.21,0,59
59,2019,1,2,0006,23.56,87.24,4.54,0,1,1,4.21,0,59
60,2019,1,2,0006,23.32,100.94,4.55,0,1,3,7.50,0,60
61,2019,1,2,0006,23.32,100.96,4.55,0,1,3,7.50,0,60
62,2019,1,2,0006,22.80,86.18,4.57,0,1,1,3.23,0,63
63,2019,1,2,0006,22.80,86.20,4.57,0,1,1,3.23,0,63
64,2019,1,2,0006,21.98,94.04,4.60,0,1,5,6.78,0,64
65,2019,1,2,0006,20.96,85.12,4.63,0,2,1,2.97,0,69
66,2019,1,2,0006,20.96,85.14,4.63,0,2,1,2.97,0,69
67,2019,1,2,0006,20.96,85.16,4.63,0,2,1,2.97,0,69
68,2019,1,2,0006,20.96,85.18,4.63,0,2,1,5.45,0,69
69,2019,1,2,0006,20.96,85.20,4.63,0,2,1,5.45,0,69
70,2019,1,2,0006,20.86,94.34,4.63,0,1,3,3.87,0,70
71,2019,1,2,0006,17.32,82.04,4.73,0,2,3,3.37,0,73
72,2019,1,2,0006,17.32,82.06,4.73,0,2,3,3.37,0,73
73,2019,1,2,0006,17.32,82.08,4.73,0,2,3,3.38,0,73
74,2019,1,2,0006,-2.58,121.38,4.95,0,2,1,7.27,0,74
75,2019,1,2,0006,-16.68,131.06,4.75,0,2,3,13.31,0,75
76,2019,1,2,0006,-16.70,131.08,4.75,0,2,5,38.47,0,76
77,2019,1,2,0006,-16.70,131.10,4.75,0,2,3,11.33,0,76
78,2019,1,2,0006,-16.72,131.08,4.75,0,2,3,8.73,0,76
79,2019,1,2,0006,-16.86,128.68,4.74,0,3,1,1.87,0,79
80,2019,1,2,0006,-17.40,128.80,4.73,0,3,3,12.71,0,80
81,2019,1,2,0006,-17.76,143.50,4.72,0,3,3,4.23,0,81
