# 2019  1  2  2  0 UTC  2020  5  2 22  8 UTC
# ID,Year,Month,Day,Time(UTC),Lat,Lon,Area(km^2),Volcano,Level,Reliability,FRP(Wm^-2),QF,Hot(ID)
1,2019,1,2,0158,47.86,122.74,3.33,0,2,1,2.35,0,2
2,2019,1,2,0158,47.86,122.76,3.33,0,2,1,2.35,0,2
3,2019,1,2,0158,47.84,122.76,3.33,0,2,1,2.35,0,2
4,2019,1,2,0204,44.84,136.04,3.51,0,3,3,.53,0,4
5,2019,1,2,0204,44.84,136.06,3.51,0,3,3,.53,0,4
6,2019,1,2,0204,43.38,131.76,3.60,0,2,5,31.14,0,9
7,2019,1,2,0204,43.38,131.78,3.60,0,2,5,20.60,0,9
8,2019,1,2,0204,43.38,131.80,3.60,0,2,5,20.60,0,9
9,2019,1,2,0204,43.36,131.76,3.60,0,2,5,73.61,0,9
10,2019,1,2,0204,43.36,131.78,3.60,0,2,5,41.78,0,9
11,2019,1,2,0204,43.36,131.80,3.60,0,2,5,41.78,0,9
12,2019,1,2,0204,43.34,131.76,3.60,0,2,5,73.61,0,9
13,2019,1,2,0204,43.34,131.78,3.60,0,2,5,73.61,0,9
14,2019,1,2,0204,43.34,131.80,3.60,0,2,5,41.77,0,9
15,2019,1,2,0204,42.48,128.28,3.66,0,3,3,1.80,2,15
16,2019,1,2,0204,41.14,117.70,3.73,0,3,1,.69,0,16
17,2019,1,2,0204,41.12,117.70,3.73,0,3,1,.69,0,16
18,2019,1,2,0204,41.12,117.72,3.73,0,3,1,.69,0,16
19,2019,1,2,0204,39.76,118.10,3.81,0,2,1,2.17,0,19
20,2019,1,2,0204,37.50,113.84,3.93,0,2,5,6.93,0,20
21,2019,1,2,0204,36.28,115.38,4.00,0,3,3,1.43,2,21
22,2019,1,2,0204,36.28,115.40,4.00,0,3,3,1.43,2,21
23,2019,1,2,0204,36.26,115.36,4.00,0,3,3,1.11,2,21
24,2019,1,2,0204,36.26,115.38,4.00,0,3,3,1.11,2,21
25,2019,1,2,0204,36.26,115.40,4.00,0,3,3,1.19,2,21
26,2019,1,2,0204,36.24,115.30,4.00,0,3,3,1.73,2,26
27,2019,1,2,0204,36.24,115.36,4.00,0,3,1,1.07,2,21
28,2019,1,2,0204,36.24,115.38,4.00,0,3,3,.95,0,21
29,2019,1,2,0204,36.22,115.28,4.00,0,3,1,1.65,2,26
30,2019,1,2,0204,36.22,115.30,4.00,0,3,1,1.23,0,26
31,2019,1,2,0204,36.22,115.32,4.00,0,3,1,1.23,0,26
32,2019,1,2,0204,36.22,115.36,4.00,0,3,1,1.01,0,21
33,2019,1,2,0204,36.22,115.38,4.00,0,3,1,.85,0,21
34,2019,1,2,0204,36.22,115.40,4.00,0,3,3,.95,0,21
35,2019,1,2,0204,36.20,115.30,4.00,0,3,1,1.65,2,26
36,2019,1,2,0204,36.20,115.32,4.00,0,3,1,1.23,0,26
37,2019,1,2,0204,36.20,115.36,4.00,0,3,1,1.01,0,21
38,2019,1,2,0204,36.20,115.38,4.00,0,3,3,1.01,0,21
39,2019,1,2,0204,36.20,115.40,4.00,0,3,3,.85,0,21
40,2019,1,2,0204,35.10,128.86,4.06,0,2,1,2.01,0,40
41,2019,1,2,0204,34.88,113.16,4.07,0,3,3,1.37,2,41
42,2019,1,2,0204,34.42,119.84,4.09,0,2,1,4.33,0,42
43,2019,1,2,0204,34.40,119.84,4.09,0,2,1,4.33,0,42
44,2019,1,2,0204,26.80,99.66,4.42,0,3,3,1.96,0,45
45,2019,1,2,0204,26.80,99.68,4.42,0,3,3,1.96,0,45
46,2019,1,2,0204,26.20,100.90,4.45,0,3,1,1.61,0,46
47,2019,1,2,0204,26.18,100.88,4.45,0,3,3,1.97,0,47
48,2019,1,2,0204,23.80,86.28,4.54,0,2,1,1.63,0,55
49,2019,1,2,0204,23.80,86.30,4.54,0,2,1,1.63,0,55
50,2019,1,2,0204,23.80,86.32,4.54,0,2,1,1.63,0,55
51,2019,1,2,0204,23.80,86.34,4.54,0,2,1,1.88,0,55
52,2019,1,2,0204,23.80,86.36,4.54,0,2,1,1.88,0,55
53,2019,1,2,0204,23.78,86.34,4.54,0,2,1,3.67,0,55
54,2019,1,2,0204,23.78,86.36,4.54,0,2,1,3.67,0,55
55,2019,1,2,0204,23.78,86.38,4.54,0,2,1,3.67,0,55
56,2019,1,2,0204,23.76,86.36,4.54,0,2,1,1.81,0,55
57,2019,1,2,0204,23.76,86.38,4.54,0,2,1,1.81,0,55
58,2019,1,2,0204,23.76,86.40,4.54,0,2,1,1.81,0,55
59,2019,1,2,0204,23.72,90.38,4.54,0,3,3,.66,0,60
60,2019,1,2,0204,23.72,90.40,4.54,0,3,3,.67,0,60
61,2019,1,2,0204,20.98,80.12,4.63,0,1,3,2.74,0,63
62,2019,1,2,0204,20.98,80.14,4.63,0,1,3,2.75,0,63
63,2019,1,2,0204,20.98,80.16,4.63,0,1,3,2.77,0,63
64,2019,1,2,0204,20.96,85.18,4.63,0,1,1,12.60,0,65
65,2019,1,2,0204,20.96,85.20,4.63,0,1,1,12.60,0,65
66,2019,1,2,0204,18.92,94.84,4.69,0,3,3,.87,0,67
67,2019,1,2,0204,18.92,94.86,4.69,0,3,3,.87,0,67
68,2019,1,2,0204,18.46,95.20,4.70,0,3,3,1.94,0,72
69,2019,1,2,0204,18.46,95.22,4.70,0,3,3,1.94,0,72
70,2019,1,2,0204,18.46,95.24,4.70,0,3,3,1.75,0,72
71,2019,1,2,0204,18.44,95.22,4.70,0,3,3,1.59,0,72
72,2019,1,2,0204,18.44,95.24,4.70,0,3,3,1.94,0,72
73,2019,1,2,0204,18.44,95.26,4.70,0,3,3,1.75,0,72
74,2019,1,2,0204,18.42,95.22,4.70,0,3,3,1.59,0,72
75,2019,1,2,0204,18.42,95.24,4.70,0,3,3,1.59,0,72
76,2019,1,2,0204,17.88,95.06,4.72,0,3,3,1.08,0,77
77,2019,1,2,0204,17.88,95.08,4.72,0,3,3,1.08,0,77
78,2019,1,2,0204,17.06,97.20,4.74,0,3,1,1.19,0,78
79,2019,1,2,0204,16.92,96.06,4.74,0,3,3,.90,0,79
80,2019,1,2,0204,15.66,104.00,4.77,0,3,1,1.83,0,80
81,2019,1,2,0204,15.56,101.16,4.77,0,2,3,2.21,0,81
82,2019,1,2,0204,15.56,101.18,4.77,0,2,3,2.21,0,81
83,2019,1,2,0204,15.56,101.20,4.77,0,2,1,1.80,0,81
84,2019,1,2,0204,15.52,103.64,4.78,0,2,1,1.60,0,85
85,2019,1,2,0204,15.52,103.66,4.78,0,2,5,3.74,0,85
86,2019,1,2,0204,15.50,102.20,4.78,0,3,1,2.95,0,86
87,2019,1,2,0204,15.50,103.66,4.78,0,3,3,1.32,0,85
88,2019,1,2,0204,15.50,103.80,4.78,0,2,3,3.41,0,88
89,2019,1,2,0204,15.48,103.16,4.78,0,3,1,2.36,0,89
90,2019,1,2,0204,15.46,103.16,4.78,0,3,1,1.47,0,89
91,2019,1,2,0204,15.46,103.18,4.78,0,3,1,1.47,0,89
92,2019,1,2,0204,15.46,103.20,4.78,0,3,1,1.37,0,89
93,2019,1,2,0204,15.40,103.44,4.78,0,2,5,6.99,0,93
94,2019,1,2,0204,15.40,103.46,4.78,0,2,5,6.99,0,93
95,2019,1,2,0204,15.40,103.48,4.78,0,3,3,1.66,0,93
96,2019,1,2,0204,15.36,103.10,4.78,0,3,3,2.69,2,96
97,2019,1,2,0204,15.36,103.12,4.78,0,3,3,2.69,2,96
98,2019,1,2,0204,13.70,102.92,4.82,0,2,3,11.29,0,98
99,2019,1,2,0204,13.70,102.94,4.82,0,2,3,11.29,0,98
100,2019,1,2,0204,.04,101.84,4.96,0,3,1,3.66,0,100
101,2019,1,2,0204,-4.56,136.88,4.94,0,3,1,3.77,0,101
102,2019,1,2,0209,-17.40,128.78,4.73,0,2,3,29.97,0,103
103,2019,1,2,0209,-17.42,128.78,4.73,0,1,3,169.16,0,103
104,2019,1,2,0209,-17.42,141.34,4.73,0,2,1,28.28,0,104
105,2019,1,2,0209,-17.60,131.72,4.72,0,2,3,13.60,0,105
106,2019,1,2,0209,-17.60,131.74,4.72,0,2,3,12.10,0,105
107,2019,1,2,0209,-17.66,141.56,4.72,0,3,1,2.79,0,107
108,2019,1,2,0209,-18.88,142.38,4.69,0,2,1,4.19,0,108
109,2019,1,2,0209,-18.90,143.42,4.69,0,2,1,22.95,0,109
110,2019,1,2,0209,-18.94,141.40,4.69,0,2,1,29.23,0,110
111,2019,1,2,0209,-19.24,142.16,4.68,0,1,1,32.24,0,111
112,2019,1,2,0209,-19.30,142.18,4.68,0,2,1,27.91,0,112
113,2019,1,2,0209,-19.32,142.16,4.68,0,2,1,18.56,0,113
114,2019,1,2,0209,-19.72,143.88,4.67,0,1,1,50.36,0,114
115,2019,1,2,0209,-21.58,130.48,4.61,0,2,5,28.94,0,115
116,2019,1,2,0209,-21.58,130.50,4.61,0,2,5,25.02,0,115
117,2019,1,2,0209,-21.80,128.94,4.60,0,2,3,14.01,0,117
