# 2019  1  2  5  0 UTC  2020  4 30  6  6 UTC
# ID,Year,Month,Day,Time(UTC),Lat,Lon,Area(km^2),Volcano,Level,Reliability,FRP(Wm^-2),QF,Hot(ID)
1,2019,1,2,0504,46.06,122.46,3.44,0,2,1,7.79,0,1
2,2019,1,2,0504,46.06,122.48,3.44,0,2,1,7.79,0,1
3,2019,1,2,0504,46.04,122.48,3.44,0,2,1,7.79,0,1
4,2019,1,2,0504,45.60,133.64,3.47,0,2,5,9.35,0,4
5,2019,1,2,0504,45.58,133.64,3.47,0,2,5,9.35,0,4
6,2019,1,2,0504,45.56,133.64,3.47,0,2,3,7.62,0,4
7,2019,1,2,0504,45.56,133.66,3.47,0,2,3,7.62,0,4
8,2019,1,2,0504,45.54,133.64,3.47,0,2,3,7.62,0,4
9,2019,1,2,0504,45.54,133.66,3.47,0,2,3,7.62,0,4
10,2019,1,2,0504,44.52,131.74,3.53,0,2,5,3.00,0,12
11,2019,1,2,0504,44.52,131.76,3.53,0,2,5,3.00,0,12
12,2019,1,2,0504,44.52,131.78,3.53,0,2,5,32.92,0,12
13,2019,1,2,0504,44.50,131.76,3.54,0,2,5,3.00,0,12
14,2019,1,2,0504,44.50,131.78,3.54,0,2,5,32.92,0,12
15,2019,1,2,0504,44.48,131.76,3.54,0,3,3,1.15,0,12
16,2019,1,2,0504,44.48,131.78,3.54,0,2,5,16.18,0,12
17,2019,1,2,0504,44.48,131.80,3.54,0,2,5,16.18,0,12
18,2019,1,2,0504,44.46,131.54,3.54,0,2,3,4.09,0,18
19,2019,1,2,0504,44.46,131.56,3.54,0,2,3,4.09,0,18
20,2019,1,2,0504,44.46,131.58,3.54,0,2,3,2.91,0,18
21,2019,1,2,0504,44.44,123.34,3.54,0,3,1,1.07,0,23
22,2019,1,2,0504,44.44,123.36,3.54,0,3,1,1.07,0,23
23,2019,1,2,0504,44.42,123.36,3.54,0,3,1,1.07,0,23
24,2019,1,2,0504,44.34,131.84,3.54,0,2,5,7.81,0,24
25,2019,1,2,0504,44.34,131.86,3.54,0,2,5,6.19,0,24
26,2019,1,2,0504,44.32,131.84,3.55,0,2,5,7.81,0,24
27,2019,1,2,0504,44.32,131.86,3.55,0,2,5,6.19,0,24
28,2019,1,2,0504,44.32,131.88,3.55,0,2,5,6.19,0,24
29,2019,1,2,0504,44.30,131.76,3.55,0,3,1,1.00,0,29
30,2019,1,2,0504,44.30,131.84,3.55,0,3,3,1.88,0,24
31,2019,1,2,0504,43.90,132.28,3.57,0,2,5,3.85,0,31
32,2019,1,2,0504,43.90,132.30,3.57,0,2,3,2.83,0,31
33,2019,1,2,0504,43.90,132.32,3.57,0,2,3,2.83,0,31
34,2019,1,2,0504,43.74,128.18,3.58,0,3,3,2.34,0,35
35,2019,1,2,0504,43.72,128.18,3.58,0,3,3,2.51,0,35
36,2019,1,2,0504,43.70,128.18,3.58,0,3,3,2.51,0,35
37,2019,1,2,0504,43.46,132.28,3.60,0,2,3,1.94,0,37
38,2019,1,2,0504,43.44,132.28,3.60,0,2,3,1.94,0,37
39,2019,1,2,0504,43.38,134.82,3.60,0,3,3,1.04,0,39
40,2019,1,2,0504,43.36,131.76,3.60,0,2,5,10.35,0,40
41,2019,1,2,0504,43.36,131.78,3.60,0,2,5,8.08,0,40
42,2019,1,2,0504,43.36,131.80,3.60,0,2,5,8.08,0,40
43,2019,1,2,0504,43.34,131.76,3.60,0,2,5,10.34,0,40
44,2019,1,2,0504,43.34,131.78,3.60,0,2,5,10.34,0,40
45,2019,1,2,0504,43.34,131.80,3.60,0,2,5,8.08,0,40
46,2019,1,2,0504,42.12,120.78,3.68,0,3,1,.83,0,47
47,2019,1,2,0504,42.10,120.78,3.68,0,3,1,.83,0,47
48,2019,1,2,0504,42.10,120.80,3.68,0,3,1,.83,0,47
49,2019,1,2,0504,41.96,118.24,3.69,0,3,3,1.84,2,49
50,2019,1,2,0504,41.96,118.26,3.69,0,3,3,1.84,2,49
51,2019,1,2,0504,41.94,118.26,3.69,0,3,3,1.84,2,49
52,2019,1,2,0504,41.92,118.26,3.69,0,3,3,1.61,2,49
53,2019,1,2,0504,41.92,118.28,3.69,0,3,3,1.61,2,49
54,2019,1,2,0504,41.14,117.70,3.73,0,3,1,1.29,0,54
55,2019,1,2,0504,41.12,117.70,3.73,0,3,1,1.29,0,54
56,2019,1,2,0504,41.12,117.72,3.73,0,3,1,1.29,0,54
57,2019,1,2,0504,41.10,117.68,3.74,0,3,1,.96,0,54
58,2019,1,2,0504,41.10,117.70,3.74,0,3,1,.96,0,54
59,2019,1,2,0504,36.28,115.38,4.00,0,3,3,1.19,2,60
60,2019,1,2,0504,36.28,115.40,4.00,0,3,3,1.19,2,60
61,2019,1,2,0504,36.28,115.42,4.00,0,3,1,.95,2,60
62,2019,1,2,0504,36.26,115.40,4.00,0,3,1,1.03,2,60
63,2019,1,2,0504,36.22,115.38,4.00,0,3,1,.26,0,63
64,2019,1,2,0504,36.20,115.40,4.00,0,3,1,1.06,2,64
65,2019,1,2,0504,36.14,119.90,4.00,0,3,1,1.71,0,65
66,2019,1,2,0504,35.94,127.14,4.01,0,3,3,1.67,0,66
67,2019,1,2,0504,35.86,128.50,4.02,0,3,1,1.48,0,67
68,2019,1,2,0504,35.82,128.50,4.02,0,3,1,1.87,0,68
69,2019,1,2,0504,35.42,129.34,4.04,0,3,1,1.87,2,69
70,2019,1,2,0504,35.34,139.86,4.04,0,2,1,7.11,0,71
71,2019,1,2,0504,35.34,139.88,4.04,0,2,1,7.11,0,71
72,2019,1,2,0504,35.10,128.84,4.06,0,3,3,1.52,0,73
73,2019,1,2,0504,35.10,128.86,4.06,0,3,3,2.10,0,73
74,2019,1,2,0504,34.46,133.44,4.09,0,1,1,40.07,0,74
75,2019,1,2,0504,34.42,119.84,4.09,0,2,1,4.88,0,75
76,2019,1,2,0504,34.40,119.84,4.09,0,2,1,4.88,0,75
77,2019,1,2,0504,33.60,119.14,4.13,0,3,3,1.41,0,77
