# 2019  1  2  5 10 UTC  2020  4 30  6  5 UTC
# ID,Year,Month,Day,Time(UTC),Lat,Lon,Area(km^2),Volcano,Level,Reliability,FRP(Wm^-2),QF,Hot(ID)
1,2019,1,2,0509,47.86,122.74,3.33,0,1,1,4.38,0,1
2,2019,1,2,0509,47.86,122.76,3.33,0,1,1,4.38,0,1
3,2019,1,2,0509,44.52,131.78,3.53,0,2,5,11.02,0,3
4,2019,1,2,0509,44.50,131.78,3.54,0,2,5,11.02,0,3
5,2019,1,2,0509,44.44,123.34,3.54,0,3,1,1.02,0,7
6,2019,1,2,0509,44.44,123.36,3.54,0,3,1,1.02,0,7
7,2019,1,2,0509,44.42,123.36,3.54,0,3,1,1.02,0,7
8,2019,1,2,0509,44.34,131.84,3.54,0,2,5,9.97,0,8
9,2019,1,2,0509,44.34,131.86,3.54,0,3,5,4.79,0,8
10,2019,1,2,0509,44.32,131.84,3.55,0,2,5,9.97,0,8
11,2019,1,2,0509,44.32,131.86,3.55,0,3,5,4.79,0,8
12,2019,1,2,0509,44.32,131.88,3.55,0,3,5,4.79,0,8
13,2019,1,2,0509,43.72,128.18,3.58,0,3,3,2.37,0,14
14,2019,1,2,0509,43.72,128.20,3.58,0,3,3,2.41,0,14
15,2019,1,2,0509,43.70,128.18,3.58,0,3,3,2.37,0,14
16,2019,1,2,0509,43.70,128.20,3.58,0,3,3,2.41,0,14
17,2019,1,2,0509,43.70,128.22,3.58,0,3,3,2.41,0,14
18,2019,1,2,0509,43.46,132.24,3.60,0,2,3,2.33,0,25
19,2019,1,2,0509,43.46,132.26,3.60,0,2,3,2.33,0,25
20,2019,1,2,0509,43.46,132.28,3.60,0,3,3,3.16,0,25
21,2019,1,2,0509,43.44,132.24,3.60,0,2,3,2.33,0,25
22,2019,1,2,0509,43.44,132.26,3.60,0,2,3,2.33,0,25
23,2019,1,2,0509,43.44,132.28,3.60,0,3,3,3.16,0,25
24,2019,1,2,0509,43.42,132.26,3.60,0,2,5,4.79,0,25
25,2019,1,2,0509,43.42,132.28,3.60,0,3,5,5.23,0,25
26,2019,1,2,0509,43.38,134.82,3.60,0,2,3,1.17,0,26
27,2019,1,2,0509,43.36,131.76,3.60,0,3,5,7.38,0,27
28,2019,1,2,0509,43.36,131.78,3.60,0,2,5,6.73,0,27
29,2019,1,2,0509,43.36,131.80,3.60,0,2,5,6.73,0,27
30,2019,1,2,0509,43.34,131.76,3.60,0,3,5,7.38,0,27
31,2019,1,2,0509,43.34,131.78,3.60,0,3,5,7.38,0,27
32,2019,1,2,0509,43.34,131.80,3.60,0,2,5,6.73,0,27
33,2019,1,2,0509,41.96,118.24,3.69,0,3,3,1.63,0,36
34,2019,1,2,0509,41.96,118.26,3.69,0,3,3,1.63,0,36
35,2019,1,2,0509,41.94,118.26,3.69,0,3,3,1.63,0,36
36,2019,1,2,0509,41.92,118.26,3.69,0,3,3,1.91,2,36
37,2019,1,2,0509,41.92,118.28,3.69,0,3,3,1.91,2,36
38,2019,1,2,0509,41.92,119.44,3.69,0,3,5,2.15,0,38
39,2019,1,2,0509,41.14,117.68,3.73,0,3,1,1.33,2,39
40,2019,1,2,0509,41.14,117.70,3.73,0,3,1,1.01,0,39
41,2019,1,2,0509,41.12,117.68,3.73,0,3,1,1.33,2,39
42,2019,1,2,0509,41.12,117.70,3.73,0,3,1,1.01,0,39
43,2019,1,2,0509,41.12,117.72,3.73,0,3,1,1.01,0,39
44,2019,1,2,0509,37.90,110.00,3.91,0,2,5,3.04,0,46
45,2019,1,2,0509,37.90,110.02,3.91,0,2,5,3.04,0,46
46,2019,1,2,0509,37.90,110.04,3.91,0,2,5,3.83,0,46
47,2019,1,2,0509,36.10,128.38,4.00,0,3,1,1.42,0,47
48,2019,1,2,0509,35.94,127.14,4.01,0,3,3,1.56,0,48
49,2019,1,2,0509,35.82,128.50,4.02,0,3,1,1.61,0,49
50,2019,1,2,0509,35.10,128.84,4.06,0,3,1,1.34,0,51
51,2019,1,2,0509,35.10,128.86,4.06,0,3,3,1.90,0,51
52,2019,1,2,0509,33.60,119.14,4.13,0,3,3,1.49,0,52
53,2019,1,2,0509,33.58,119.14,4.13,0,3,3,1.49,0,52
54,2019,1,2,0509,33.58,119.16,4.13,0,3,3,1.49,0,52
55,2019,1,2,0515,27.36,89.44,4.40,0,3,1,3.00,0,55
56,2019,1,2,0515,27.36,89.46,4.40,0,3,1,2.97,0,55
57,2019,1,2,0515,27.34,89.48,4.40,0,3,1,2.67,0,57
58,2019,1,2,0515,26.94,95.28,4.42,0,2,5,35.90,0,60
59,2019,1,2,0515,26.94,95.30,4.42,0,2,5,35.90,0,60
60,2019,1,2,0515,26.94,95.32,4.42,0,2,5,60.85,0,60
61,2019,1,2,0515,26.92,95.30,4.42,0,2,5,23.84,0,60
62,2019,1,2,0515,26.92,95.32,4.42,0,2,5,48.46,0,60
63,2019,1,2,0515,26.92,95.34,4.42,0,2,5,48.34,0,60
64,2019,1,2,0515,26.90,95.24,4.42,0,2,5,16.30,0,67
65,2019,1,2,0515,26.90,95.26,4.42,0,2,5,16.30,0,67
66,2019,1,2,0515,26.90,95.28,4.42,0,2,3,5.43,0,67
67,2019,1,2,0515,26.88,95.24,4.42,0,2,5,173.25,0,67
