# 2019  1  2  6 10 UTC  2020  5  2 22  3 UTC
# ID,Year,Month,Day,Time(UTC),Lat,Lon,Area(km^2),Volcano,Level,Reliability,FRP(Wm^-2),QF,Hot(ID)
1,2019,1,2,0611,48.48,124.06,3.29,0,2,3,1.38,0,2
2,2019,1,2,0611,48.46,124.06,3.29,0,2,3,1.38,0,2
3,2019,1,2,0611,47.90,123.12,3.32,0,2,3,2.34,0,3
4,2019,1,2,0611,47.90,123.14,3.32,0,2,3,2.34,0,3
5,2019,1,2,0611,46.06,122.50,3.44,0,2,3,1.04,0,7
6,2019,1,2,0611,46.04,122.50,3.44,0,2,3,1.04,0,7
7,2019,1,2,0611,46.04,122.52,3.44,0,2,3,1.04,0,7
8,2019,1,2,0611,44.52,131.74,3.53,0,2,3,4.67,0,10
9,2019,1,2,0611,44.52,131.76,3.53,0,2,3,4.67,0,10
10,2019,1,2,0611,44.52,131.78,3.53,0,2,5,6.19,0,10
11,2019,1,2,0611,44.50,131.76,3.54,0,2,3,4.67,0,10
12,2019,1,2,0611,44.50,131.78,3.54,0,2,5,6.19,0,10
13,2019,1,2,0611,44.34,131.86,3.54,0,2,5,6.62,0,13
14,2019,1,2,0611,44.32,131.86,3.55,0,2,5,6.62,0,13
15,2019,1,2,0611,44.32,131.88,3.55,0,2,5,6.62,0,13
16,2019,1,2,0611,43.72,128.14,3.58,0,3,3,1.67,0,18
17,2019,1,2,0611,43.72,128.16,3.58,0,3,3,1.67,0,18
18,2019,1,2,0611,43.72,128.18,3.58,0,2,5,3.91,0,18
19,2019,1,2,0611,43.70,128.16,3.58,0,3,3,1.67,0,18
20,2019,1,2,0611,43.70,128.18,3.58,0,2,5,3.91,0,18
21,2019,1,2,0611,43.38,131.76,3.60,0,2,3,6.10,0,21
22,2019,1,2,0611,43.38,134.82,3.60,0,2,5,1.32,0,22
23,2019,1,2,0611,43.36,131.76,3.60,0,2,5,4.14,0,21
24,2019,1,2,0611,43.34,131.76,3.60,0,2,5,4.14,0,21
25,2019,1,2,0611,43.34,131.78,3.60,0,2,5,4.14,0,21
26,2019,1,2,0611,42.72,124.78,3.64,0,3,3,.66,0,26
27,2019,1,2,0611,42.70,124.78,3.64,0,3,3,.66,0,26
28,2019,1,2,0611,42.70,124.80,3.64,0,3,3,.66,0,26
29,2019,1,2,0611,42.68,125.94,3.64,0,2,3,2.11,0,29
30,2019,1,2,0611,42.68,125.96,3.64,0,2,3,2.11,0,29
31,2019,1,2,0611,42.66,125.96,3.65,0,2,1,2.11,0,29
32,2019,1,2,0611,42.62,126.02,3.65,0,2,3,2.88,0,37
33,2019,1,2,0611,42.60,126.02,3.65,0,2,3,2.88,0,37
34,2019,1,2,0611,42.60,130.54,3.65,0,2,5,4.30,0,34
35,2019,1,2,0611,42.58,125.98,3.65,0,2,3,2.50,0,37
36,2019,1,2,0611,42.58,126.00,3.65,0,2,3,3.11,0,37
37,2019,1,2,0611,42.58,126.02,3.65,0,2,3,3.34,0,37
38,2019,1,2,0611,42.58,126.04,3.65,0,2,3,3.34,0,37
39,2019,1,2,0611,42.58,130.54,3.65,0,2,5,4.30,0,34
40,2019,1,2,0611,42.56,125.96,3.65,0,2,3,2.34,0,40
41,2019,1,2,0611,42.54,125.96,3.65,0,2,3,2.34,0,40
42,2019,1,2,0611,41.18,122.80,3.73,0,2,3,4.49,0,42
43,2019,1,2,0611,41.18,122.82,3.73,0,2,3,4.49,0,42
44,2019,1,2,0611,41.16,122.82,3.73,0,2,3,4.49,0,42
45,2019,1,2,0611,41.14,117.70,3.73,0,3,1,.87,0,45
46,2019,1,2,0611,41.14,122.32,3.73,0,2,3,3.07,0,46
47,2019,1,2,0611,41.12,117.70,3.73,0,3,1,.87,0,45
48,2019,1,2,0611,41.12,117.72,3.73,0,3,1,.87,0,45
49,2019,1,2,0611,41.12,122.32,3.73,0,2,3,3.07,0,46
50,2019,1,2,0611,39.96,123.94,3.80,0,3,3,1.01,0,50
51,2019,1,2,0611,38.86,106.86,3.86,0,3,1,.74,0,53
52,2019,1,2,0611,38.84,106.86,3.86,0,3,1,.74,0,53
