# 2019  1  2 19 50 UTC  2020  4 30  5  1 UTC
# ID,Year,Month,Day,Time(UTC),Lat,Lon,Area(km^2),Volcano,Level,Reliability,FRP(Wm^-2),QF,Hot(ID)
1,2019,1,2,1953,40.70,129.22,3.76,0,2,3,2.58,0,1
2,2019,1,2,1953,39.10,110.74,3.85,0,2,1,.99,0,2
3,2019,1,2,1953,39.10,110.76,3.85,0,2,1,.99,0,2
4,2019,1,2,1953,39.04,117.48,3.85,0,2,1,1.06,0,4
5,2019,1,2,1953,38.28,114.24,3.89,0,2,1,1.05,0,5
6,2019,1,2,1953,38.26,114.24,3.89,0,2,1,.87,0,5
7,2019,1,2,1953,38.26,114.26,3.89,0,2,1,.87,0,5
8,2019,1,2,1953,36.96,128.02,3.96,0,1,1,4.22,0,8
9,2019,1,2,1953,36.94,128.02,3.96,0,1,1,4.21,0,8
10,2019,1,2,1953,36.94,128.04,3.96,0,1,1,4.21,0,8
11,2019,1,2,1953,36.82,116.74,3.97,0,2,1,.75,0,11
12,2019,1,2,1953,36.60,116.20,3.98,0,2,1,.92,0,12
13,2019,1,2,1953,36.60,116.22,3.98,0,2,1,.53,0,12
14,2019,1,2,1953,36.60,128.86,3.98,0,1,1,3.72,0,14
15,2019,1,2,1953,36.46,115.96,3.99,0,2,1,.35,0,15
16,2019,1,2,1953,36.44,117.56,3.99,0,2,1,1.48,0,16
17,2019,1,2,1953,36.44,117.58,3.99,0,2,1,1.48,0,16
18,2019,1,2,1953,36.44,127.50,3.99,0,2,1,1.94,0,18
19,2019,1,2,1953,36.42,117.58,3.99,0,2,1,1.48,0,16
20,2019,1,2,1953,36.42,119.10,3.99,0,2,1,1.06,0,20
21,2019,1,2,1953,36.42,127.50,3.99,0,2,1,1.94,0,18
22,2019,1,2,1953,36.40,119.10,3.99,0,2,1,1.06,0,20
23,2019,1,2,1953,36.40,119.12,3.99,0,2,1,1.06,0,20
24,2019,1,2,1953,36.38,127.48,3.99,0,2,3,1.58,0,24
25,2019,1,2,1953,36.38,127.50,3.99,0,2,3,1.58,0,24
26,2019,1,2,1953,36.10,117.82,4.00,0,2,1,2.99,0,26
27,2019,1,2,1953,36.08,117.82,4.01,0,2,1,2.99,0,26
28,2019,1,2,1953,36.08,117.84,4.01,0,2,1,2.99,0,26
29,2019,1,2,1953,35.82,112.30,4.02,0,2,3,1.10,0,29
30,2019,1,2,1953,35.82,112.32,4.02,0,2,3,1.10,0,29
